ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,flights,avg_arrival_delay,delayed_15_pct
EAU,Chippewa Valley Regional Airport,44.86526,-91.48507,696,5.941091954022989,16.81
EGE,Eagle County Regional Airport,39.64257,-106.9177,1202,12.306988352745424,23.46
EKO,Elko Regional Airport,40.82493,-115.7917,570,-3.312280701754386,7.89
ELM,Elmira/Corning Regional Airport,42.15991,-76.89144,2202,5.495004541326067,18.17
ELP,El Paso International Airport,31.80667,-106.37781,12842,4.709702538545398,15.93
ERI,Erie International Airport,42.08202,-80.17622,765,7.705882352941177,17.78
ESC,Delta County Airport,45.72267,-87.09373,606,2.83993399339934,9.08
EUG,Eugene Airport (Mahlon Sweet Field),44.12326,-123.21869,3883,3.243110996652073,15.68
EVV,Evansville Regional Airport,38.03799,-87.53063,4103,6.189129904947599,19.52
EWN,Coastal Carolina Regional Airport (Craven County Regional),35.07297,-77.04294,620,5.358064516129033,14.52
EWR,Newark Liberty International Airport,40.6925,-74.16866,107849,3.922799469628833,20.88
EYW,Key West International Airport,24.55611,-81.75956,2091,2.1688187470109996,12.58
FAI,Fairbanks International Airport,64.81368,-147.85967,2345,0.4230277185501066,13.01
FAR,Hector International Airport,46.91935,-96.81499,6088,3.9899802890932983,17.81
FAT,Fresno Yosemite International Airport,36.77619,-119.71814,7577,8.406361356737495,19.32
FAY,Fayetteville Regional Airport,34.99147,-78.88,1762,5.759931895573212,15.83
FCA,Glacier Park International Airport,48.3114,-114.25507,2119,-2.739027843322322,11.0
FLG,Flagstaff Pulliam Airport,35.13845,-111.67122,1766,6.211211778029445,16.25
FLL,Fort Lauderdale-Hollywood International Airport,26.07258,-80.15275,78333,3.445789131017579,18.58
FNT,Bishop International Airport,42.9655,-83.74346,5041,-2.1987700853005356,12.02
FSD,Sioux Falls Regional Airport,43.58135,-96.7417,5599,8.646544025718878,21.27
FSM,Fort Smith Regional Airport,35.33659,-94.36744,2084,5.68953934740883,16.89
FWA,Fort Wayne International Airport,40.97847,-85.19515,5589,6.345142243692968,17.7
GCC,Gillette-Campbell County Airport,44.3489,-105.53936,1070,-4.55607476635514,9.91
GCK,Garden City Regional Airport,37.92752,-100.72441,697,4.483500717360115,18.36
GEG,Spokane International Airport,47.61986,-117.53384,10265,2.6739405747686313,13.67
GFK,Grand Forks International Airport,47.94926,-97.17611,804,4.240049751243781,17.41
GGG,East Texas Regional Airport,32.38486,-94.71171,669,8.907324364723468,19.88
GJT,Grand Junction Regional Airport (Walker Field),39.12241,-108.52673,3390,1.5103244837758112,12.06
GNV,Gainesville Regional Airport,29.69006,-82.27178,2869,7.771697455559428,19.03
